image_name,tags
train_24952,clear primary
train_13593,haze primary
train_11659,clear primary water
train_4363,clear primary
train_10239,clear water
train_36983,partly_cloudy primary
train_20379,clear primary water
train_4703,agriculture partly_cloudy primary
train_15827,clear primary
train_14706,clear primary
train_21395,agriculture clear primary
train_7140,clear cultivation primary water
train_25642,bare_ground clear primary water
train_39027,agriculture clear cultivation primary road
train_24531,clear primary
train_4053,partly_cloudy primary water
train_18430,agriculture habitation partly_cloudy primary road water
train_5930,agriculture haze primary
train_40027,clear primary road
train_15302,clear primary blooming
train_13175,agriculture clear primary road water
train_37981,agriculture clear primary road
train_34908,clear primary
train_26430,clear primary water
train_32623,clear primary
train_19396,cloudy
train_31881,clear primary
train_35420,blooming clear primary water
train_23786,clear primary
train_29737,clear primary
train_33875,clear cultivation primary
train_12441,clear primary
train_30184,agriculture clear cultivation primary
train_27443,agriculture clear primary
train_28819,clear primary
train_4258,cloudy
train_19454,agriculture clear primary road
train_20263,clear primary
train_34833,haze primary road
train_29441,agriculture clear road
train_4995,agriculture clear habitation primary road
train_39207,clear primary
train_2287,agriculture clear primary road
train_30629,agriculture clear cultivation primary road
train_8723,partly_cloudy primary
train_16791,clear cultivation habitation primary
train_29722,cloudy
train_20115,agriculture clear primary
train_25807,clear primary
train_5826,agriculture haze primary road water
train_35505,clear primary water
train_11676,clear primary
train_20480,clear primary
train_16971,clear primary water
train_22494,clear primary water
train_32093,clear primary
train_10857,clear primary
train_5319,agriculture cultivation partly_cloudy primary water
train_4852,agriculture clear cultivation habitation primary road
train_27328,partly_cloudy primary
train_39188,agriculture cultivation haze primary water
train_12480,clear primary
train_14718,clear primary
train_39869,clear primary
train_1333,agriculture clear primary road
train_12963,agriculture clear cultivation habitation primary
train_292,agriculture partly_cloudy primary
train_15917,haze primary
train_2526,agriculture haze primary
train_27249,clear primary
train_37780,clear primary
train_27808,clear primary
train_14315,agriculture clear habitation primary road
train_3971,clear primary
train_11372,clear primary
train_13069,cloudy
train_16171,clear primary
train_38057,partly_cloudy primary
train_8495,clear primary
train_756,agriculture cultivation habitation partly_cloudy primary road
train_8436,clear primary water
train_25300,partly_cloudy primary
train_5675,cloudy
train_25281,agriculture clear primary
train_7543,agriculture clear cultivation primary road
train_20140,artisinal_mine clear primary water
train_38322,clear primary
train_29219,clear primary water
train_29653,cloudy
train_32884,agriculture clear primary
train_1568,clear primary
train_15561,clear primary
train_16845,partly_cloudy primary water
train_5905,agriculture clear cultivation primary
train_28776,clear primary
train_2369,clear primary
train_28702,clear primary
train_960,agriculture clear primary water
train_36947,partly_cloudy primary
train_990,clear primary
train_32278,cloudy
train_7923,artisinal_mine clear primary water
train_37708,clear primary
train_31564,agriculture clear primary road water
train_33611,agriculture clear cultivation primary
train_32969,haze primary
train_10297,clear primary
train_13365,agriculture clear primary road
train_4950,clear primary
train_22361,agriculture clear cultivation primary
train_27260,clear primary
train_33191,cloudy
train_32723,clear primary
train_37763,clear primary road
train_20714,clear primary
train_36882,artisinal_mine clear primary water
train_11463,clear primary water
train_6441,haze primary
train_27760,haze primary
train_23014,clear primary
train_4866,agriculture partly_cloudy primary
train_37937,agriculture bare_ground clear habitation primary road water
train_745,partly_cloudy primary
train_29567,clear primary
train_33409,agriculture cultivation partly_cloudy primary
train_12100,haze primary
train_3624,partly_cloudy primary
train_29669,artisinal_mine clear water
train_30283,agriculture clear habitation primary road
train_18159,partly_cloudy primary road selective_logging water
train_20894,cloudy
train_38584,clear primary
train_26059,agriculture clear primary road water
train_38687,clear primary
train_5533,agriculture clear habitation primary road
train_26142,partly_cloudy primary
train_19025,bare_ground clear primary
train_6773,partly_cloudy primary
train_3203,clear primary
train_25237,partly_cloudy primary
train_24835,clear primary
train_29391,cloudy
train_30374,clear primary
train_23746,clear primary
train_7525,clear primary
train_2234,cloudy
train_4457,haze primary
train_25011,agriculture cultivation partly_cloudy primary road
train_9980,clear primary
train_33916,clear primary
train_4371,clear primary
train_34710,agriculture clear primary water
train_39083,clear primary water
train_3311,clear primary
train_17606,partly_cloudy primary
train_22079,clear primary
train_39501,clear primary road water
train_21082,agriculture clear cultivation habitation primary road
train_13598,clear primary
train_11848,clear primary
train_38813,agriculture clear primary road
train_36011,partly_cloudy primary
train_21933,agriculture partly_cloudy primary
train_20706,habitation haze primary road
train_28322,clear primary
train_39229,clear primary
train_11649,agriculture clear primary
train_28412,agriculture clear primary road
train_20667,agriculture clear cultivation habitation primary road water
train_35840,haze primary water
train_16597,partly_cloudy primary
train_37772,agriculture clear primary road
train_24144,agriculture clear cultivation primary
train_8490,partly_cloudy primary
train_16028,partly_cloudy primary
train_139,clear primary
train_631,agriculture clear primary road
train_18208,clear primary
train_33580,clear primary
train_37975,clear primary
train_11889,clear primary
train_5965,clear primary water
train_11717,partly_cloudy primary
train_15114,clear primary
train_9583,agriculture clear habitation primary road
train_19811,clear primary road water
train_10344,agriculture clear cultivation primary road
train_31105,partly_cloudy primary
train_34210,cloudy
train_12639,clear primary
train_36614,clear primary
train_29213,clear primary road water
train_18606,clear primary
train_29719,agriculture clear cultivation primary
train_21725,agriculture clear conventional_mine habitation primary road
train_3421,clear primary
train_874,partly_cloudy primary road water
train_30566,clear primary water
train_25895,clear water
train_21266,clear primary
train_9957,clear primary
train_6304,clear cultivation primary water
train_22243,clear primary
train_32283,cloudy
train_39497,agriculture clear primary water
train_1224,clear primary
train_39618,clear primary selective_logging water
train_34066,partly_cloudy primary
train_8178,clear primary
train_5948,clear primary
train_33798,agriculture clear primary
train_5632,clear primary
train_16138,clear primary
train_12549,agriculture partly_cloudy primary road
train_34466,clear primary
train_4773,partly_cloudy primary
train_35939,clear primary
train_23829,agriculture clear cultivation primary water
train_14516,clear primary
train_11773,clear primary
train_5861,clear primary
train_12645,clear primary
train_34605,clear primary
train_12329,clear primary
train_5635,artisinal_mine clear primary road water
train_21818,clear primary
train_23748,clear primary
train_11452,clear primary
train_19447,clear primary
train_17580,clear primary
train_33067,clear primary
train_19136,agriculture clear primary slash_burn
train_37001,clear habitation primary water
train_18504,clear primary
train_33771,clear cultivation primary
train_4669,clear primary road
train_34554,clear primary
train_15233,cloudy
train_37833,agriculture clear primary road
train_16109,partly_cloudy primary water
train_20329,clear primary
train_19081,clear primary
train_39223,partly_cloudy primary
train_19595,partly_cloudy primary
train_8590,partly_cloudy primary
train_20594,bare_ground clear primary
train_15454,agriculture clear habitation primary road
train_12938,clear primary
train_27895,partly_cloudy primary
train_1239,agriculture partly_cloudy primary
train_19383,clear primary water
train_978,clear primary
train_26620,agriculture clear cultivation primary road
train_15041,haze primary
train_40159,clear primary
train_5371,haze primary
train_36723,clear primary water
train_18972,clear cultivation habitation primary water
train_5794,agriculture cultivation habitation partly_cloudy primary water
train_38254,clear primary
train_15343,agriculture clear habitation primary
train_13770,clear primary
train_38210,clear primary
train_34873,clear primary
train_16749,agriculture clear primary road
train_14690,partly_cloudy primary
train_35787,clear primary
train_180,haze primary
train_30159,clear primary
train_8313,agriculture clear habitation primary slash_burn
train_32378,agriculture clear habitation primary road
train_4272,clear primary
train_33228,bare_ground habitation haze primary road
train_10226,clear habitation primary water
train_24677,clear cultivation primary
train_13390,partly_cloudy primary
train_5885,clear habitation primary road water
train_14411,bare_ground clear primary water
train_12026,clear primary
train_26334,partly_cloudy primary
train_15921,clear primary road
train_13493,agriculture partly_cloudy primary
train_9075,partly_cloudy primary water
train_28101,cloudy
train_27218,clear primary
train_15005,haze primary
train_35474,clear primary
train_10250,clear primary
train_17698,clear primary
train_13606,agriculture clear cultivation habitation primary road
train_40056,agriculture clear cultivation primary
train_39915,agriculture clear primary water
train_40128,clear primary
train_14820,haze primary
train_23771,agriculture clear cultivation primary
train_23967,clear primary
train_4613,clear primary
train_11787,clear primary
train_33989,agriculture clear cultivation habitation primary road water
train_34401,partly_cloudy primary
train_29956,cloudy
train_21262,agriculture clear primary road water
train_10529,blow_down clear cultivation primary
train_32425,clear primary
train_13289,clear primary water
train_2034,partly_cloudy primary water
train_29770,clear primary road
train_36276,clear primary
train_5232,agriculture clear primary road water
train_16572,partly_cloudy primary
train_7887,clear primary
train_22637,agriculture partly_cloudy water
train_3464,agriculture clear primary road
train_4467,clear primary
train_9464,clear primary
train_29285,clear primary
train_38421,agriculture partly_cloudy primary road
train_23282,agriculture cultivation haze primary
train_32429,haze primary
train_6458,clear primary
train_5205,bare_ground clear primary
train_37718,partly_cloudy primary water
train_35034,agriculture clear primary
train_16697,haze primary
train_17690,clear primary road water
train_35079,partly_cloudy primary
train_38245,clear primary water
train_7968,clear primary water
train_16870,agriculture clear habitation primary road water
train_602,clear primary
train_14875,clear primary
train_35813,agriculture clear cultivation primary
train_26535,clear primary
train_4153,clear habitation primary road
train_17733,clear primary
train_15627,agriculture clear primary road
train_28384,clear primary
train_24957,clear primary
train_21898,clear habitation primary road water
train_31038,agriculture cultivation habitation partly_cloudy primary slash_burn
train_19468,agriculture clear primary
train_34408,cloudy
train_36187,haze primary water
train_26850,agriculture clear cultivation habitation primary road
train_25182,clear primary
train_15801,clear primary
train_16571,clear conventional_mine primary
train_20935,partly_cloudy primary
train_27356,clear primary
train_22705,clear primary
train_9259,agriculture cultivation cultivation partly_cloudy primary
train_7874,partly_cloudy primary
train_1675,clear primary
train_7036,partly_cloudy primary
train_4767,haze primary
train_21899,clear primary water
train_26440,clear primary road water
train_28125,clear primary water
train_17269,cloudy
train_38211,agriculture clear primary
train_29468,clear habitation primary road water
train_30560,agriculture clear cultivation primary road
train_33382,clear primary
train_30607,clear primary
train_28144,clear habitation primary road water
train_20498,agriculture clear habitation primary road
train_13780,clear primary
train_25257,artisinal_mine bare_ground clear habitation primary road water
train_13446,clear cultivation habitation primary water
train_15154,clear primary
train_14177,partly_cloudy primary
train_8351,partly_cloudy primary
train_21669,clear primary
train_38972,clear primary
train_30081,clear primary
train_5656,clear primary water
train_17093,agriculture partly_cloudy primary
train_29947,agriculture clear habitation primary
train_2887,partly_cloudy primary
train_24942,clear primary
train_534,cloudy
train_22881,clear primary
train_479,clear primary
train_28279,clear primary
train_20527,agriculture cultivation partly_cloudy primary road
train_27349,clear primary
train_27727,clear primary
train_32067,agriculture clear primary
train_11616,clear primary water
train_24550,partly_cloudy primary
train_38792,clear primary
train_15317,clear primary
train_33295,clear primary
train_19981,clear primary
train_32541,agriculture clear cultivation primary
train_11534,clear primary
train_22296,clear primary
train_22848,bare_ground partly_cloudy primary
train_5199,clear primary
train_2630,clear primary
train_25713,clear primary
train_37397,agriculture clear habitation primary
train_28836,clear water
train_11198,blooming clear primary
train_415,clear primary
train_13442,cloudy
train_26318,agriculture clear primary road
train_11679,clear primary
train_25830,agriculture cultivation partly_cloudy primary
train_15862,cloudy
train_27688,clear primary
train_6469,clear primary
train_20132,clear primary
train_5395,clear primary
train_31273,clear primary
train_33560,cloudy
train_33076,agriculture clear primary road
train_10878,clear primary road
train_33463,cloudy
train_29571,partly_cloudy primary
train_15665,clear primary
train_18450,agriculture clear primary road
train_3201,partly_cloudy primary
train_31467,agriculture clear habitation primary road
train_29045,clear primary
train_23578,agriculture clear primary road
train_15737,cloudy
train_6818,clear primary
train_21766,clear primary
train_245,clear primary blooming
train_10514,agriculture clear primary road
train_21623,clear primary
train_12664,haze primary
train_17010,clear primary water
train_20837,agriculture clear primary road
train_16189,clear primary
train_29809,agriculture clear primary road
train_35009,agriculture cultivation habitation partly_cloudy primary road
train_23021,clear primary
train_40303,clear primary
train_27853,agriculture habitation partly_cloudy primary road water
train_36310,agriculture clear primary road water
train_34532,bare_ground haze primary
train_23418,cloudy
train_33897,agriculture partly_cloudy primary road
train_40121,partly_cloudy primary road
train_24849,agriculture haze primary
train_39431,partly_cloudy primary water
train_39802,artisinal_mine bare_ground clear habitation road
train_620,partly_cloudy primary
train_25079,clear primary
train_17243,clear primary water
train_29072,agriculture habitation partly_cloudy primary water
train_27720,agriculture haze primary road
train_9244,clear cultivation primary
train_2892,clear primary
train_38877,agriculture clear primary water
train_11336,clear primary
train_28652,partly_cloudy primary
train_15976,agriculture clear habitation primary road
train_20229,clear primary
train_6320,clear primary water
train_22831,clear primary
train_2747,clear primary
train_28356,clear primary
train_25675,clear primary road selective_logging
train_12273,agriculture clear cultivation habitation primary road
train_29226,agriculture habitation haze primary road water
train_24874,clear cultivation habitation primary water
train_37410,agriculture clear primary water
train_34552,clear primary
train_26097,agriculture clear primary
train_4925,blooming clear primary
train_27255,clear primary
train_9433,clear primary
train_4619,clear primary
train_16500,agriculture clear primary road
train_24359,partly_cloudy primary
train_32633,agriculture clear habitation primary road
train_17588,clear cultivation primary road
train_6649,clear primary
train_28398,clear primary
train_16778,agriculture haze primary water
train_16179,clear primary
train_954,partly_cloudy primary
train_21285,agriculture clear primary road
train_17536,clear primary
train_10132,clear primary road water
train_34259,agriculture cultivation partly_cloudy primary
train_2759,clear habitation primary road
train_12786,bare_ground partly_cloudy primary slash_burn
train_35018,clear primary
train_37277,clear primary
train_5471,agriculture bare_ground clear primary
train_10380,agriculture partly_cloudy primary
train_21042,agriculture partly_cloudy primary road water
train_4654,agriculture partly_cloudy primary
train_21719,agriculture cultivation haze primary
train_34041,agriculture clear primary road
train_11176,agriculture clear habitation primary road
train_3620,clear primary
train_39959,clear primary
train_16202,haze primary
train_28243,partly_cloudy primary water
train_8926,agriculture clear habitation primary
train_13401,clear primary
train_37825,agriculture clear habitation primary slash_burn water
train_39994,partly_cloudy primary
train_14615,agriculture clear habitation primary road water
train_31245,clear primary
train_5808,clear primary
train_11293,partly_cloudy primary road water
train_30546,clear primary
train_13450,agriculture clear habitation primary
train_15048,partly_cloudy primary
train_3225,clear primary
train_23957,artisinal_mine partly_cloudy primary water
train_31921,clear primary
train_26449,clear primary
train_18207,agriculture clear habitation primary road
train_17375,clear primary water
train_12065,agriculture partly_cloudy water
train_27411,cloudy
train_40259,agriculture clear habitation primary road water
train_21951,clear primary
train_9510,clear primary
train_23339,clear primary
train_39827,agriculture clear primary
train_15329,clear primary
train_4716,clear primary water
train_27896,clear primary
train_6024,agriculture clear habitation primary road
train_29448,partly_cloudy primary water
train_9567,partly_cloudy primary
train_17879,partly_cloudy primary water
train_23427,clear primary
train_37951,clear primary
train_35557,agriculture clear cultivation primary
train_24674,agriculture partly_cloudy primary
train_27341,partly_cloudy primary
train_27761,partly_cloudy primary
train_17304,agriculture cultivation haze primary
train_3102,clear primary
train_27044,clear primary
train_5416,agriculture clear cultivation habitation primary road water
train_31718,agriculture clear cultivation primary road
train_15920,haze primary
train_9272,clear primary
train_30933,agriculture clear primary
train_34186,clear primary water
train_38274,haze primary road water
train_36527,clear primary
train_1383,clear primary water
train_2008,bare_ground clear habitation primary water
train_13998,agriculture clear primary road water
train_3535,clear cultivation primary
train_34591,partly_cloudy primary
train_11531,clear primary
train_30875,clear habitation road water
train_29912,agriculture partly_cloudy primary road
train_34067,partly_cloudy primary
train_6839,clear primary
train_1804,agriculture cultivation haze primary
train_38151,partly_cloudy primary
train_38409,agriculture clear habitation primary road
train_10069,clear primary
train_35929,partly_cloudy primary
train_21326,clear primary
train_34184,agriculture clear primary
train_29144,haze primary water
train_32395,clear primary
train_15577,partly_cloudy primary
train_1073,agriculture partly_cloudy primary road
train_21175,clear primary
train_17342,clear primary water
train_38822,agriculture clear habitation primary road
train_10476,clear primary
train_35894,artisinal_mine clear primary water
train_33927,agriculture clear habitation primary road selective_logging water
train_21030,agriculture clear primary road water
train_38713,clear primary
train_4725,clear water
train_25390,agriculture partly_cloudy primary
train_15664,partly_cloudy primary
train_1694,agriculture clear cultivation cultivation primary road
train_15128,clear primary road water
train_23347,clear primary
train_11304,partly_cloudy primary water
train_1826,agriculture clear primary water
train_23182,haze primary
train_16714,clear primary water
train_19040,partly_cloudy primary
train_12638,clear primary
train_31343,agriculture clear primary water
train_8719,clear primary water
train_26762,clear primary
train_13578,partly_cloudy primary
train_25122,partly_cloudy primary
train_2127,clear primary water
train_690,agriculture haze primary road
train_28072,cloudy
train_6898,agriculture clear primary
train_26474,agriculture clear primary road
train_7453,clear primary
train_38266,clear primary water
train_21911,clear primary
train_6289,clear primary
train_28338,partly_cloudy primary
train_19667,clear cultivation habitation primary water
train_3828,agriculture partly_cloudy primary road
train_40463,agriculture haze primary
train_32238,clear primary
train_17628,agriculture clear primary water
train_7956,clear primary water
train_7041,partly_cloudy primary road water
train_36513,partly_cloudy primary
train_28088,clear primary
train_23590,blooming clear primary
train_27922,clear primary water
train_19987,partly_cloudy primary
train_17965,partly_cloudy primary
train_28483,agriculture clear primary water
train_6650,clear primary
train_14056,agriculture clear cultivation primary road
train_11524,clear primary
train_13333,agriculture clear habitation road
train_33718,clear primary
train_16893,clear primary
train_30594,agriculture cultivation partly_cloudy primary
train_31328,agriculture clear primary road
train_33894,clear primary
train_6758,partly_cloudy primary
train_5165,partly_cloudy primary
train_28858,agriculture haze primary road
train_28563,clear primary
train_26198,partly_cloudy primary
train_36469,clear primary water
train_38949,clear primary water
train_39306,clear primary
train_26972,agriculture clear cultivation primary
train_30513,agriculture clear primary road
train_22,partly_cloudy primary
train_29727,partly_cloudy primary
train_17863,agriculture clear primary road
train_35015,agriculture cultivation haze primary
train_12408,clear primary
train_17276,agriculture clear primary water
train_31270,agriculture clear cultivation primary road
train_11327,blooming clear primary
train_23826,cloudy
train_8605,agriculture clear primary
train_18815,partly_cloudy primary
train_11672,agriculture clear primary road
train_18102,cloudy
train_3151,clear primary
train_10027,agriculture clear cultivation primary
train_4536,partly_cloudy primary water
train_15948,clear primary
train_12989,clear water
train_390,agriculture clear primary road
train_25245,clear primary
train_27698,clear primary water
train_17945,agriculture clear habitation primary road
train_35027,cloudy
train_39064,agriculture clear primary
train_30578,agriculture clear primary road
train_21056,clear primary
train_34420,clear primary water
train_15586,agriculture clear cultivation primary
train_18911,clear primary
train_30941,clear primary
train_16636,clear habitation primary road
train_23954,clear primary
train_36570,clear primary water
train_37062,agriculture clear primary road
train_15919,clear primary
train_7561,agriculture cultivation partly_cloudy primary water
train_33773,cloudy
train_14027,clear primary
train_19123,clear primary
train_26782,agriculture clear primary water
train_4474,agriculture clear habitation primary
train_34203,clear primary
train_39833,agriculture clear primary
train_7479,clear primary water
train_32973,cloudy
train_30253,agriculture clear primary road water
train_28488,cloudy
train_10923,clear primary
train_21681,clear primary road water
train_28901,clear primary
train_38,clear primary
train_22771,clear primary
train_27068,haze primary
train_27112,haze primary
train_40158,agriculture clear road water
train_4279,clear primary
train_17512,agriculture clear primary road water
train_36607,partly_cloudy primary water
train_21745,haze primary road
train_38718,agriculture cultivation partly_cloudy primary
train_33674,clear primary
train_19337,agriculture clear primary
train_8409,clear primary
train_16156,agriculture clear primary
train_39636,clear primary water
train_13021,agriculture clear cultivation habitation primary road water
train_9500,agriculture clear primary
train_23496,clear primary
train_21484,clear primary
train_5960,bare_ground clear primary
train_33117,agriculture clear habitation primary road
train_36725,clear primary
train_28182,cloudy
train_33663,partly_cloudy primary
train_20634,clear primary
train_8850,clear cultivation primary
train_19530,agriculture partly_cloudy road
train_21360,agriculture clear primary road
train_6075,clear primary
train_16007,partly_cloudy primary
train_27935,clear primary
train_14775,clear primary road selective_logging
train_25777,agriculture cultivation haze primary
train_21901,clear primary
train_8802,partly_cloudy primary
train_449,clear primary
train_6932,clear primary water
train_14683,clear primary road selective_logging
train_14621,agriculture clear primary road
train_3255,clear primary
train_26576,clear conventional_mine primary water
train_9203,artisinal_mine clear primary road water
train_17406,cloudy
train_34396,partly_cloudy primary
train_14084,partly_cloudy primary
train_12526,clear primary
train_15286,agriculture clear primary road
train_29150,clear primary
train_7199,partly_cloudy primary
train_7417,clear primary
train_36820,clear primary
train_34601,agriculture clear cultivation primary water
train_28817,agriculture clear habitation primary water
train_33697,agriculture cultivation partly_cloudy primary
train_31154,clear primary
train_20199,agriculture partly_cloudy primary road
train_16915,cloudy
train_27557,agriculture clear primary road water
train_2599,partly_cloudy primary
train_40309,haze primary water
train_10741,blooming partly_cloudy primary
train_1993,clear primary
train_5725,clear primary
train_35550,agriculture clear habitation primary road
train_5366,clear primary
train_10310,clear primary
train_9790,agriculture clear primary
train_1143,clear cultivation primary
train_26639,clear primary
train_13254,clear primary
train_30425,haze primary
train_30417,clear primary
train_1831,clear primary
train_17064,clear primary
train_32012,clear primary
train_17048,partly_cloudy primary
train_34113,partly_cloudy primary
train_7314,partly_cloudy primary
train_1841,clear primary
train_29511,partly_cloudy primary
train_6782,agriculture clear cultivation primary
train_35721,clear primary
train_15963,agriculture haze primary water
train_27289,haze primary
train_27773,habitation haze primary road
train_34882,agriculture clear primary road
train_19571,clear habitation primary road water
train_22032,agriculture partly_cloudy primary road
train_18782,partly_cloudy primary
train_12542,agriculture clear habitation primary road
train_1390,agriculture clear cultivation primary
train_2181,clear primary
train_10541,agriculture clear cultivation primary road
train_21775,clear primary
train_4876,partly_cloudy primary
train_37127,clear primary
train_958,agriculture partly_cloudy primary water
train_2329,partly_cloudy primary
train_13132,clear primary
train_12405,partly_cloudy primary
train_26842,agriculture clear primary road
train_2415,agriculture clear primary
train_24526,haze primary
train_12003,agriculture haze primary road water
train_16395,clear primary
train_27037,clear primary
train_38017,clear primary
train_39881,cloudy
train_6086,clear primary
train_23222,cloudy
train_39282,clear primary
train_19157,clear primary
train_12414,agriculture clear primary
train_12380,clear primary
train_35084,agriculture clear habitation primary road
